id,name,definition,beispiel,kategorie
1,"Experten-Status-Argument","Der Trugschluss, eine Behauptung sei wahr oder müsse akzeptiert werden, weil die Person, die sie aufstellt, eine Autoritäts-, Experten- oder hohe Statusposition innehat, und Glauben aufgrund ihres Titels anstatt der vorgelegten Beweise fordert. Dies schließt Appelle an den 'wissenschaftlichen Konsens' ein, wenn dieser dazu dient, Fragen zu unterbinden, anstatt Beweise vorzulegen.","'Als Abteilungsleiter kann ich Ihnen sagen, dass dieses Projekt erfolgreich sein wird, und Sie müssen die Daten nicht sehen. Meine Position ist Beweis genug.' oder 'Sie müssen akzeptieren, dass diese Theorie korrekt ist, weil 97% der Wissenschaftler darin übereinstimmen; den Konsens in Frage zu stellen, ist illegitim.'","relevanz"
2,"Ad Hominem","Dieser Trugschluss tritt auf, wenn jemand die Ansicht einer anderen Person aufgrund persönlicher Merkmale, Herkunft, Aussehen oder anderer für das Argument irrelevanter Merkmale ablehnt oder kritisiert.","'Sie können dem medizinischen Rat von Dr. Schmidt zur Ernährung nicht trauen, weil sie übergewichtig ist.' Dies greift das persönliche Erscheinungsbild von Dr. Schmidt an, was für die wissenschaftliche Gültigkeit ihrer medizinischen Empfehlungen irrelevant ist.","relevanz"
3,"Tu Quoque (Appell an die Heuchelei)","Eine spezifische Art des Ad-hominem-Trugschlusses, der ein Argument abtut, indem er auf die Heuchelei des Argumentierenden hinweist. Er lenkt Kritik ab, indem er sie auf den Ankläger zurückwirft, aber die Heuchelei des Argumentierenden entkräftet sein Argument nicht.","'Mein Vater hat mir gesagt, ich soll nicht zu schnell fahren, weil es gefährlich ist, aber ich muss nicht auf ihn hören, weil er letztes Jahr einen Strafzettel wegen zu schnellen Fahrens bekommen hat.' Die vergangenen Handlungen des Vaters ändern nichts an der Tatsache, dass zu schnelles Fahren objektiv gefährlich ist.","relevanz"
4,"Genetischer Trugschluss","Dieser Trugschluss besteht darin, eine Behauptung aufgrund ihres Ursprungs, ihrer Quelle oder ihrer Geschichte zu akzeptieren oder abzulehnen, anstatt ihren aktuellen Wert oder ihre Beweise zu bewerten. Die Quelle einer Idee ist unabhängig von ihrer Wahrheit oder Falschheit.","'Dieses Auto kann unmöglich gut sein; es wurde in einem Land hergestellt, das für billige Produkte bekannt ist.' Dies beurteilt das Auto aufgrund seines Herstellungsortes, nicht aufgrund seiner tatsächlichen Leistung, Sicherheitsbewertungen oder Bauqualität.","relevanz"
5,"Ad Populum (Mitläufereffekt)","Dieser Trugschluss behauptet, dass ein Vorschlag wahr sein muss, weil viele oder die meisten Menschen daran glauben. Er appelliert an den Wunsch, dazuzugehören und auf der Gewinnerseite zu stehen, aber die Popularität einer Idee hat keinen Einfluss auf ihre Gültigkeit.","'Millionen von Menschen sind auf dieses neue Smartphone umgestiegen, also muss es das beste auf dem Markt sein.' Die Popularität des Telefons könnte auf erfolgreiches Marketing zurückzuführen sein, anstatt auf überlegene Funktionen oder Qualität.","relevanz"
6,"Appell an die Autorität (Irrelevant)","Dies geschieht, wenn ein Argument auf dem Zeugnis einer Autoritätsperson beruht, die kein Experte auf dem relevanten Gebiet ist. Während das Zitieren relevanter Experten ein gültiger Teil eines Arguments ist, ist das Zitieren einer irrelevanten Autorität trügerisch.","'Ein berühmter Schauspieler sagte in einem Interview, dass diese spezielle Marke von Vitamin C Erkältungen vorbeugen wird, also decke ich mich ein.' Der Schauspieler ist eine Autorität für Schauspielerei, nicht für Immunologie oder Ernährung.","relevanz"
7,"Appell an die Natur","Dies ist das Argument, dass etwas gut ist, weil es 'natürlich' ist, oder schlecht, weil es 'unnatürlich' ist. Dies ist ein Trugschluss, weil die Natürlichkeit von etwas nicht von Natur aus mit seinen positiven oder negativen Eigenschaften verbunden ist.","'Sie sollten sich nicht impfen lassen; es ist unnatürlich. Es ist besser, Immunität durch natürliche Infektion aufzubauen.' Dies ignoriert die Tatsache, dass viele natürliche Dinge wie Zyanid, Arsen und tödliche Viren extrem schädlich sind.","relevanz"
8,"Appell an die Tradition","Dieser Trugschluss argumentiert, dass eine These richtig sein muss, weil sie eine lange Tradition hat. Die Tatsache, dass eine Idee seit langer Zeit existiert, macht sie nicht automatisch wahr oder besser als neuere Ideen.","'Unser Unternehmen verwendet diese Managementstruktur seit fünfzig Jahren und war erfolgreich, also gibt es keinen Grund, sie zu ändern.' Dies ignoriert die Möglichkeit, dass sich die Marktbedingungen geändert haben und eine neue Struktur noch effektiver sein könnte.","relevanz"
9,"Appell an die Armut (Argumentum ad Lazarum)","Dieser Trugschluss ist die Annahme, dass eine Schlussfolgerung richtig ist, weil der Sprecher arm ist, oder dass sie falsch ist, weil der Sprecher reich ist. Es ist das Gegenteil des Appells an den Reichtum.","'Die Mönche haben allem materiellen Reichtum entsagt. Sie müssen die wahre Erleuchtung erlangt haben.' Ihre Armut beweist nicht ihre Weisheit.","relevanz"
10,"Appell an den Reichtum (Argumentum ad Crumenam)","Dieser Trugschluss geht davon aus, dass ein Argument richtig ist, weil der Sprecher reich ist, oder umgekehrt, dass ein Argument falsch ist, weil der Sprecher arm ist. Finanzieller Erfolg ist kein Maß für die Wahrhaftigkeit eines Arguments.","'Wenn du so schlau bist, warum bist du dann nicht reich? Dieser Milliardär sagt, diese Investition sei eine sichere Sache, und er sollte es wissen.' Dies setzt finanziellen Erfolg mit Fachwissen in allen Bereichen gleich.","relevanz"
11,"Moralistischer Trugschluss","Dieser Trugschluss geht von einer Aussage darüber, wie die Dinge sein *sollten*, zu einer Tatsachenbehauptung darüber, wie die Dinge *sind*. Er geht davon aus, dass sich die Welt unseren moralischen Überzeugungen anpassen wird, was eine Form von Wunschdenken ist.","'Jeder sollte gleich behandelt werden, daher gibt es keine angeborenen genetischen Unterschiede in den Fähigkeiten zwischen den Menschen.' Der moralische Imperativ der Gleichbehandlung impliziert logischerweise keine Tatsachenschlussfolgerung über biologische Einheitlichkeit.","relevanz"
12,"Naturalistischer Trugschluss (Sein-Sollen-Fehlschluss)","Dies geschieht, wenn jemand von einer Tatsachenaussage (was 'ist') zu einer Wertaussage (was 'sein sollte') argumentiert. Er geht davon aus, dass die Art und Weise, wie die Dinge sind, die Art und Weise ist, wie sie sein sollten.","'Weil Tiere in der Natur Fleisch fressen, ist es für Menschen moralisch akzeptabel, Fleisch zu essen.' Dieses Argument nimmt eine beschreibende Tatsache über die natürliche Welt und versucht, daraus eine moralische Vorschrift abzuleiten.","relevanz"
13,"Roter Hering","Dies ist eine Ablenkungstaktik. Ein Argumentierender begeht einen Roter-Hering-Trugschluss, indem er ein irrelevantes Thema in eine Diskussion einbringt, um die Aufmerksamkeit vom ursprünglichen Thema abzulenken.","'Auf die Frage nach seiner Abstimmungsbilanz zum Umweltschutz antwortet ein Senator: 'Ich bin viel mehr über die Bedrohung durch den Terrorismus besorgt.'' Dies vermeidet die Frage, indem ein anderes Thema eingeführt wird.","relevanz"
