id,name,definition,example,category
1,"Expert Status Argument","The fallacy of asserting a claim is true or must be accepted because the person making it holds a position of authority, expertise, or high status, demanding belief based on their title rather than the evidence provided. This includes appeals to 'scientific consensus' when used to shut down questioning rather than present evidence.","'As the head of the department, I can tell you this project will succeed, and you don't need to see the data. My position is proof enough.' or 'You have to accept that this theory is correct because 97% of scientists agree on it; questioning the consensus is illegitimate.'","relevance"
2,"Ad Hominem","This fallacy occurs when someone rejects or criticizes another person's view on the basis of personal characteristics, background, physical appearance, or other features irrelevant to the argument at hand.","You can't trust Dr. Smith's medical advice on dieting because she is overweight. This attacks Dr. Smith's personal appearance, which is irrelevant to the scientific validity of her medical recommendations.","relevance"
3,"Tu Quoque (Appeal to Hypocrisy)","A specific type of ad hominem fallacy that dismisses an argument by pointing out hypocrisy in the arguer. It deflects criticism by turning it back on the accuser, but the arguer's hypocrisy doesn't invalidate their argument.","My father told me not to speed because it's dangerous, but I don't have to listen to him because he got a speeding ticket last year. The father's past actions don't change the fact that speeding is objectively dangerous.","relevance"
4,"Genetic Fallacy","This fallacy involves accepting or rejecting a claim based on its origin, source, or history, rather than evaluating its current merit or evidence. The source of an idea is independent of its truth or falsehood.","That car can't possibly be any good; it was made in a country known for cheap products. This judges the car based on its place of manufacture, not on its actual performance, safety ratings, or build quality.","relevance"
5,"Ad Populum (Bandwagon)","This fallacy asserts that a proposition must be true because many or most people believe it. It appeals to the desire to fit in and be on the winning side, but the popularity of an idea has no bearing on its validity.","Millions of people have switched to this new smartphone, so it must be the best one on the market. The phone's popularity could be due to successful marketing rather than superior features or quality.","relevance"
6,"Appeal to Authority (Irrelevant)","This occurs when an argument relies on the testimony of an authority figure who is not an expert in the relevant field. While citing relevant experts is a valid part of an argument, citing an irrelevant authority is fallacious.","A famous actor said in an interview that this specific brand of vitamin C will prevent colds, so I'm stocking up. The actor is an authority on acting, not on immunology or nutrition.","relevance"
7,"Appeal to Nature","This is the argument that something is good because it is 'natural,' or bad because it is 'unnatural.' This is a fallacy because the naturalness of something is not inherently linked to its positive or negative qualities.","You shouldn't get vaccinated; it's unnatural. It's better to build immunity through natural infection. This ignores the fact that many natural things, like cyanide, arsenic, and deadly viruses, are extremely harmful.","relevance"
8,"Appeal to Tradition","This fallacy argues that a thesis must be correct because it has a long-standing tradition behind it. The fact that an idea has been around for a long time does not automatically make it true or better than newer ideas.","Our company has used this management structure for fifty years and has been successful, so there is no need to change it. This ignores the possibility that market conditions have changed and a new structure might be even more effective.","relevance"
9,"Appeal to Poverty (Argumentum ad Lazarum)","This fallacy is the assumption that a conclusion is correct because the speaker is poor, or that it is incorrect because the speaker is rich. It is the opposite of the Appeal to Wealth.","The monks have renounced all material wealth. They must have achieved true enlightenment. Their poverty doesn't prove their wisdom.","relevance"
10,"Appeal to Wealth (Argumentum ad Crumenam)","This fallacy assumes that an argument is correct because the speaker is wealthy or, conversely, that an argument is incorrect because the speaker is poor. Financial success is not a measure of an argument's truthfulness.","If you're so smart, why aren't you rich? That billionaire says this investment is a sure thing, and he should know. This equates financial success with expertise in all areas.","relevance"
