id,name,definition,example,category
1,"Argumento del Estatus de Experto","La falacia de afirmar que una aseveración es verdadera o debe ser aceptada porque la persona que la hace ostenta una posición de autoridad, pericia o alto estatus, exigiendo la creencia basada en su título en lugar de en la evidencia proporcionada. Esto incluye las apelaciones al 'consenso científico' cuando se utilizan para acallar el cuestionamiento en lugar de presentar pruebas.","'Como jefe del departamento, puedo decirle que este proyecto tendrá éxito, y no necesita ver los datos. Mi posición es prueba suficiente.' o 'Tiene que aceptar que esta teoría es correcta porque el 97% de los científicos está de acuerdo; cuestionar el consenso es ilegítimo.'","relevancia"
2,"Ad Hominem","Esta falacia ocurre cuando alguien rechaza o critica la opinión de otra persona basándose en características personales, antecedentes, apariencia física u otros rasgos irrelevantes para el argumento en cuestión.","No puedes confiar en el consejo médico de la Dra. Smith sobre dietas porque tiene sobrepeso. Esto ataca la apariencia personal de la Dra. Smith, que es irrelevante para la validez científica de sus recomendaciones médicas.","relevancia"
3,"Tu Quoque (Apelación a la Hipocresía)","Un tipo específico de falacia ad hominem que desestima un argumento señalando la hipocresía del argumentador. Desvía la crítica devolviéndola al acusador, pero la hipocresía del argumentador no invalida su argumento.","Mi padre me dijo que no corriera porque es peligroso, pero no tengo que escucharlo porque a él le pusieron una multa por exceso de velocidad el año pasado. Las acciones pasadas del padre no cambian el hecho de que correr es objetivamente peligroso.","relevancia"
4,"Falacia Genética","Esta falacia implica aceptar o rechazar una afirmación basándose en su origen, fuente o historia, en lugar de evaluar su mérito o evidencia actual. El origen de una idea es independiente de su verdad o falsedad.","Ese coche no puede ser bueno; fue fabricado en un país conocido por sus productos baratos. Esto juzga el coche por su lugar de fabricación, no por su rendimiento real, calificaciones de seguridad o calidad de construcción.","relevancia"
5,"Ad Populum (Efecto de Arrastre)","Esta falacia afirma que una proposición debe ser verdadera porque muchas o la mayoría de las personas la creen. Apela al deseo de encajar y estar en el lado ganador, pero la popularidad de una idea no tiene relación con su validez.","Millones de personas han cambiado a este nuevo teléfono inteligente, así que debe ser el mejor del mercado. La popularidad del teléfono podría deberse a un marketing exitoso en lugar de a características o calidad superiores.","relevancia"
6,"Apelación a la Autoridad (Irrelevante)","Ocurre cuando un argumento se basa en el testimonio de una figura de autoridad que no es experta en el campo relevante. Si bien citar a expertos relevantes es una parte válida de un argumento, citar a una autoridad irrelevante es falaz.","Un actor famoso dijo en una entrevista que esta marca específica de vitamina C previene los resfriados, así que me estoy abasteciendo. El actor es una autoridad en actuación, no en inmunología o nutrición.","relevancia"
7,"Apelación a la Naturaleza","Este es el argumento de que algo es bueno porque es 'natural', o malo porque es 'antinatural'. Esto es una falacia porque la naturalidad de algo no está inherentemente ligada a sus cualidades positivas o negativas.","No deberías vacunarte; es antinatural. Es mejor desarrollar inmunidad a través de una infección natural. Esto ignora el hecho de que muchas cosas naturales, como el cianuro, el arsénico y los virus mortales, son extremadamente dañinas.","relevancia"
8,"Apelación a la Tradición","Esta falacia argumenta que una tesis debe ser correcta porque tiene una larga tradición detrás. El hecho de que una idea haya existido durante mucho tiempo no la hace automáticamente verdadera o mejor que las ideas más nuevas.","Nuestra empresa ha utilizado esta estructura de gestión durante cincuenta años y ha tenido éxito, por lo que no hay necesidad de cambiarla. Esto ignora la posibilidad de que las condiciones del mercado hayan cambiado y una nueva estructura pueda ser aún más efectiva.","relevancia"
9,"Apelación a la Pobreza (Argumentum ad Lazarum)","Esta falacia es la suposición de que una conclusión es correcta porque el hablante es pobre, o que es incorrecta porque el hablante es rico. Es lo opuesto a la Apelación a la Riqueza.","Los monjes han renunciado a toda riqueza material. Deben haber alcanzado la verdadera iluminación. Su pobreza no demuestra su sabiduría.","relevancia"
10,"Apelación a la Riqueza (Argumentum ad Crumenam)","Esta falacia asume que un argumento es correcto porque el hablante es rico o, a la inversa, que un argumento es incorrecto porque el hablante es pobre. El éxito financiero no es una medida de la veracidad de un argumento.","Si eres tan listo, ¿por qué no eres rico? Ese multimillonario dice que esta inversión es segura, y él debería saberlo. Esto equipara el éxito financiero con la experiencia en todas las áreas.","relevancia"
11,"Falacia Moralista","Esta falacia pasa de una declaración sobre cómo *deberían* ser las cosas a una afirmación fáctica sobre cómo *son* las cosas. Asume que el mundo se adaptará a nuestras creencias morales, lo cual es una forma de pensamiento ilusorio.","Todos deberían ser tratados por igual, por lo tanto, no existen diferencias genéticas innatas en las habilidades entre las personas. El imperativo moral de un trato igualitario no implica lógicamente una conclusión fáctica sobre la uniformidad biológica.","relevancia"
