id,nom,definition,exemple,categorie
1,"Argument du Statut d'Expert","Le sophisme consistant à affirmer qu'une déclaration est vraie ou doit être acceptée parce que la personne qui la fait détient une position d'autorité, d'expertise ou de statut élevé, exigeant la croyance sur la base de son titre plutôt que des preuves fournies. Cela inclut les appels au 'consensus scientifique' lorsqu'ils sont utilisés pour clore le débat plutôt que pour présenter des preuves.","'En tant que chef de département, je peux vous dire que ce projet réussira, et vous n'avez pas besoin de voir les données. Ma position est une preuve suffisante.' ou 'Vous devez accepter que cette théorie est correcte car 97% des scientifiques sont d'accord ; remettre en question le consensus est illégitime.'","pertinence"
2,"Ad Hominem","Ce sophisme se produit lorsque quelqu'un rejette ou critique le point de vue d'une autre personne sur la base de caractéristiques personnelles, de son passé, de son apparence physique ou d'autres caractéristiques non pertinentes pour l'argument en question.","'Vous ne pouvez pas faire confiance aux conseils médicaux du Dr Smith sur le régime alimentaire car elle est en surpoids.' Cela attaque l'apparence personnelle du Dr Smith, qui n'est pas pertinente pour la validité scientifique de ses recommandations médicales.","pertinence"
3,"Tu Quoque (Appel à l'hypocrisie)","Un type spécifique de sophisme ad hominem qui rejette un argument en soulignant l'hypocrisie de l'argumentateur. Il détourne la critique en la retournant contre l'accusateur, mais l'hypocrisie de l'argumentateur n'invalide pas son argument.","'Mon père m'a dit de ne pas faire d'excès de vitesse parce que c'est dangereux, mais je n'ai pas à l'écouter car il a eu une contravention pour excès de vitesse l'année dernière.' Les actions passées du père ne changent rien au fait que l'excès de vitesse est objectivement dangereux.","pertinence"
4,"Sophisme génétique","Ce sophisme consiste à accepter ou à rejeter une affirmation sur la base de son origine, de sa source ou de son histoire, plutôt que d'évaluer son mérite actuel ou ses preuves. La source d'une idée est indépendante de sa vérité ou de sa fausseté.","'Cette voiture ne peut pas être bonne ; elle a été fabriquée dans un pays connu pour ses produits bon marché.' Cela juge la voiture sur son lieu de fabrication, et non sur ses performances réelles, ses cotes de sécurité ou sa qualité de construction.","pertinence"
5,"Ad Populum (Effet de mode)","Ce sophisme affirme qu'une proposition doit être vraie parce que beaucoup ou la plupart des gens la croient. Il fait appel au désir de s'intégrer et d'être du côté des gagnants, mais la popularité d'une idée n'a aucune incidence sur sa validité.","'Des millions de personnes sont passées à ce nouveau smartphone, il doit donc être le meilleur sur le marché.' La popularité du téléphone pourrait être due à un marketing réussi plutôt qu'à des fonctionnalités ou une qualité supérieures.","pertinence"
6,"Appel à l'autorité (Non pertinent)","Cela se produit lorsqu'un argument repose sur le témoignage d'une figure d'autorité qui n'est pas un expert dans le domaine concerné. Bien que citer des experts pertinents soit une partie valide d'un argument, citer une autorité non pertinente est fallacieux.","'Un acteur célèbre a déclaré dans une interview que cette marque spécifique de vitamine C préviendra les rhumes, alors je fais des réserves.' L'acteur est une autorité en matière de comédie, pas en immunologie ou en nutrition.","pertinence"
7,"Appel à la nature","C'est l'argument selon lequel quelque chose est bon parce que c'est 'naturel', ou mauvais parce que c'est 'artificiel'. C'est un sophisme car le caractère naturel de quelque chose n'est pas intrinsèquement lié à ses qualités positives ou négatives.","'Vous ne devriez pas vous faire vacciner ; c'est contre nature. Il vaut mieux développer son immunité par une infection naturelle.' Cela ignore le fait que de nombreuses choses naturelles, comme le cyanure, l'arsenic et les virus mortels, sont extrêmement nocives.","pertinence"
8,"Appel à la tradition","Ce sophisme soutient qu'une thèse doit être correcte parce qu'elle a une longue tradition derrière elle. Le fait qu'une idée existe depuis longtemps ne la rend pas automatiquement vraie ou meilleure que les idées plus récentes.","'Notre entreprise utilise cette structure de gestion depuis cinquante ans et a réussi, il n'y a donc pas besoin de la changer.' Cela ignore la possibilité que les conditions du marché aient changé et qu'une nouvelle structure puisse être encore plus efficace.","pertinence"
9,"Appel à la pauvreté (Argumentum ad Lazarum)","Ce sophisme est l'hypothèse qu'une conclusion est correcte parce que l'orateur est pauvre, ou qu'elle est incorrecte parce que l'orateur est riche. C'est l'opposé de l'Appel à la richesse.","'Les moines ont renoncé à toute richesse matérielle. Ils doivent avoir atteint la véritable illumination.' Leur pauvreté ne prouve pas leur sagesse.","pertinence"
10,"Appel à la richesse (Argumentum ad Crumenam)","Ce sophisme suppose qu'un argument est correct parce que l'orateur est riche ou, inversement, qu'un argument est incorrect parce que l'orateur est pauvre. Le succès financier n'est pas une mesure de la véracité d'un argument.","'Si tu es si intelligent, pourquoi n'es-tu pas riche ? Ce milliardaire dit que cet investissement est une chose sûre, et il devrait le savoir.' Cela assimile le succès financier à l'expertise dans tous les domaines.","pertinence"
11,"Sophisme moralisateur","Ce sophisme passe d'une déclaration sur la façon dont les choses *devraient* être à une affirmation factuelle sur la façon dont les choses *sont*. Il suppose que le monde s'adaptera à nos croyances morales, ce qui est une forme de vœu pieux.","'Tout le monde devrait être traité sur un pied d'égalité, par conséquent, il n'y a pas de différences génétiques innées dans les capacités entre les gens.' L'impératif moral de l'égalité de traitement n'entraîne pas logiquement une conclusion factuelle sur l'uniformité biologique.","pertinence"
12,"Sophisme naturaliste (Sophisme du 'est-devrait')","Cela se produit lorsque quelqu'un argumente à partir d'une déclaration de fait (ce qui 'est') à une déclaration de valeur (ce qui 'devrait' être). Il suppose que la façon dont les choses sont est la façon dont elles devraient être.","'Parce que les animaux dans la nature mangent de la viande, il est moralement acceptable pour les humains de manger de la viande.' Cet argument prend un fait descriptif sur le monde naturel et essaie d'en dériver une prescription morale.","pertinence"
13,"Le hareng rouge","C'est une tactique de distraction. Un argumentateur commet un sophisme du hareng rouge en introduisant un sujet non pertinent dans une discussion pour détourner l'attention du problème initial.","'Interrogé sur son bilan de vote en matière de protection de l'environnement, un sénateur répond : 'Je suis beaucoup plus préoccupé par la menace du terrorisme.'' Cela évite la question en introduisant un autre problème.","pertinence"
