id,name,definition,example,category
1,"Agenten-Kurzschluss","Die Tendenz zu glauben, dass die Welt von mächtigen, unsichtbaren Akteuren kontrolliert wird.","Den Glauben, dass eine Pechsträhne das Werk eines Fluchs oder einer böswilligen Entität ist, anstatt des Zufalls.","not_enough_meaning"
2,"Ambiguitätseffekt","Die Tendenz, Optionen zu meiden, bei denen fehlende Informationen die Wahrscheinlichkeit 'unbekannt' erscheinen lassen.","Bei der Wahl einer Investition eine Aktie mit bekannter, stabiler Historie einer neuen Aktie mit unbekanntem Potenzial vorzuziehen, auch wenn die neue Aktie eine höhere Rendite haben könnte.","not_enough_meaning"
3,"Anker-Kurzschluss","Die Tendenz, sich bei Entscheidungen zu stark auf die erste angebotene Information (den 'Anker') zu verlassen.","Ein Gebrauchtwagenhändler bietet einen hohen Preis an, um die Verhandlungen zu beginnen; der endgültige Preis erscheint im Vergleich dazu vernünftiger, auch wenn er immer noch über dem tatsächlichen Wert des Autos liegt.","too_much_information"
4,"Anekdotischer Trugschluss","Die Verwendung einer persönlichen Erfahrung oder eines Einzelfalls anstelle eines fundierten Arguments oder überzeugender Beweise.","'Mein Großvater hat eine Schachtel pro Tag geraucht und wurde 90, also ist Rauchen nicht so schlimm für dich.'","not_enough_meaning"
5,"Anthropomorphismus","Die Tendenz, nicht-menschlichen Entitäten menschliche Züge, Emotionen oder Absichten zuzuschreiben.","Zu glauben, Ihr Auto sei 'wütend' auf Sie, wenn es nicht anspringt, oder zu denken, Ihr Hund fühle sich 'schuldig', nachdem er sich schlecht benommen hat.","not_enough_meaning"
6,"Aufmerksamkeitsverzerrung","Unsere Wahrnehmung wird überproportional von dem beeinflusst, was gerade unsere Aufmerksamkeit in Anspruch nimmt, was dazu führt, dass wir andere relevante Informationen vernachlässigen.","Eine Person, die versucht, mit dem Rauchen aufzuhören, wird überall andere Leute rauchen sehen, was es viel schwieriger macht, das Verlangen zu ignorieren.","too_much_information"
7,"Autoritäts-Kurzschluss","Die Tendenz, der Meinung einer Autoritätsperson eine größere Genauigkeit zuzuschreiben und sich stärker von dieser Meinung beeinflussen zu lassen.","Der Empfehlung eines Prominenten für ein medizinisches Produkt zu glauben, auch wenn dieser keine medizinische Expertise hat.","not_enough_meaning"
8,"Automatisierungs-Kurzschluss","Die Tendenz, sich übermäßig auf automatisierte Systeme zu verlassen, was dazu führen kann, dass fehlerhafte automatisierte Informationen korrekte Entscheidungen außer Kraft setzen.","Einem GPS-Navigationssystem an einen gefährlichen oder falschen Ort zu folgen und ihm mehr zu vertrauen als dem eigenen gesunden Menschenverstand.","not_enough_meaning"
9,"Verfügbarkeitskaskade","Ein sich selbst verstärkender Prozess, bei dem ein kollektiver Glaube durch seine zunehmende Wiederholung im öffentlichen Diskurs immer mehr an Plausibilität gewinnt.","Eine kleine Nachricht über eine seltene Krankheit kann zu einer weit verbreiteten Panik führen, da immer mehr Menschen darüber sprechen, wodurch die Bedrohung bedeutender erscheint, als sie ist.","too_much_information"
10,"Verfügbarkeitskurzschluss","Wir überschätzen die Bedeutung von Informationen, die leicht abrufbar sind. Wir werden von lebhaften, aktuellen oder emotional aufgeladenen Ereignissen beeinflusst.","Nachdem Sie mehrere Nachrichtenberichte über Haiangriffe gesehen haben, beginnen Sie zu glauben, dass diese viel häufiger sind, als sie tatsächlich sind, obwohl Autounfälle statistisch weitaus gefährlicher sind.","too_much_information"
