id,name,definition,example,category
1,"Agencialidad","La tendencia a creer que el mundo está controlado por agentes poderosos e invisibles.","Creer que una racha de mala suerte es obra de una maldición o una entidad malévola, en lugar del azar.","not_enough_meaning"
2,"Efecto de ambigüedad","La tendencia a evitar opciones en las que la falta de información hace que la probabilidad parezca 'desconocida'.","Al elegir una inversión, preferir una acción con un historial conocido y estable a una nueva acción con potencial desconocido, incluso si la nueva acción podría tener un mayor rendimiento.","not_enough_meaning"
3,"Sesgo de anclaje","La tendencia a depender demasiado de la primera información ofrecida (el 'ancla') al tomar decisiones.","Un vendedor de coches de segunda mano ofrece un precio alto para iniciar las negociaciones; el precio final parece más razonable en comparación, aunque siga siendo superior al valor real del coche.","too_much_information"
4,"Falacia anecdótica","Usar una experiencia personal o un ejemplo aislado en lugar de un argumento sólido o pruebas convincentes.","'Mi abuelo fumaba un paquete al día y vivió hasta los 90 años, así que fumar no es tan malo.'","not_enough_meaning"
5,"Antropomorfismo","La tendencia a atribuir rasgos humanos, emociones o intenciones a entidades no humanas.","Creer que tu coche está 'enfadado' contigo cuando no arranca, o pensar que tu perro se siente 'culpable' después de portarse mal.","not_enough_meaning"
6,"Sesgo atencional","Nuestra percepción se ve afectada de forma desproporcionada por lo que ocupa nuestra atención en cada momento, lo que nos lleva a descuidar otra información relevante.","Una persona que intenta dejar de fumar se dará cuenta de que hay gente fumando por todas partes, lo que hace mucho más difícil ignorar el deseo.","too_much_information"
7,"Sesgo de autoridad","La tendencia a atribuir mayor exactitud a la opinión de una figura de autoridad y a dejarse influir más por esa opinión.","Creer en el respaldo de un famoso a un producto médico, aunque no tenga experiencia médica.","not_enough_meaning"
8,"Sesgo de automatización","La tendencia a depender excesivamente de los sistemas automatizados, lo que puede llevar a que la información automatizada errónea anule las decisiones correctas.","Seguir un sistema de navegación GPS hasta un lugar peligroso o incorrecto, confiando en él más que en el propio sentido común.","not_enough_meaning"
9,"Cascada de disponibilidad","Un proceso de autorrefuerzo en el que una creencia colectiva gana cada vez más plausibilidad a través de su creciente repetición en el discurso público.","Una noticia menor sobre una enfermedad rara puede convertirse en pánico generalizado a medida que más y más gente habla de ella, haciendo que la amenaza parezca más importante de lo que es.","too_much_information"
10,"Heurístico de disponibilidad","Sobrestimamos la importancia de la información que es fácil de recordar. Nos dejamos llevar por acontecimientos vívidos, recientes o cargados de emoción.","Después de ver varios reportajes sobre ataques de tiburones, empiezas a creer que son mucho más comunes de lo que realmente son, aunque los accidentes de coche sean estadísticamente mucho más peligrosos.","too_much_information"
11,"Efecto contraproducente (Backfire effect)","La reacción ante pruebas que refutan una creencia, fortaleciendo las convicciones previas.","Cuando a una persona se le presentan pruebas científicas que contradicen sus creencias políticas, puede convencerse aún más de que su creencia original es correcta.","need_to_act_fast"
12,"Efecto de arrastre (Bandwagon effect)","La tendencia a hacer o creer cosas porque muchas otras personas hacen o creen lo mismo.","Invertir en una 'acción meme' simplemente porque es popular y muchos otros lo están haciendo, sin investigar su valor fundamental.","not_enough_meaning"
13,"Falacia de la tasa base","Tendemos a ignorar la información estadística general (tasas base) en favor de información específica y descriptiva (anécdotas).","Lees una historia vívida sobre una persona que ganó la lotería, así que compras un billete, ignorando las probabilidades astronómicas en contra de ganar (la tasa base).","too_much_information"
14,"Sesgo de creencia","La tendencia a juzgar la fuerza de los argumentos basándose en la plausibilidad de su conclusión, en lugar de en la fuerza con que apoyan esa conclusión.","Aceptar un argumento mal razonado como 'Todas las flores necesitan luz, y las rosas necesitan luz, por lo tanto, las rosas son flores' porque la conclusión es obviamente cierta, aunque la lógica sea defectuosa.","not_enough_meaning"
15,"Efecto Ben Franklin","Una persona que ha hecho un favor a alguien es más propensa a hacerle otro favor a esa persona que si hubiera recibido un favor de esa persona.","Si quieres gustarle a alguien, pídele que te haga un pequeño favor. Su cerebro racionalizará que le debes de gustar, de lo contrario no te habría ayudado.","need_to_act_fast"
16,"Paradoja de Berkson","La tendencia a malinterpretar los experimentos estadísticos que implican probabilidades condicionales.","Una falsa observación de que dos rasgos deseables están correlacionados negativamente. Por ejemplo, en una población hospitalaria, se podría observar que los pacientes con la enfermedad A tienen menos probabilidades de tener la enfermedad B, lo que lleva a una conclusión falsa sobre la relación de las enfermedades en la población general.","not_enough_meaning"
