id,name,definition,example,category
1,"Agentivité","La tendance à croire que le monde est contrôlé par des agents puissants et invisibles.","Croire qu'une série de malchances est l'œuvre d'une malédiction ou d'une entité malveillante, plutôt que du hasard.","not_enough_meaning"
2,"Effet d'ambiguïté","La tendance à éviter les options pour lesquelles le manque d'information rend la probabilité 'inconnue'.","Lors du choix d'un investissement, préférer une action avec un historique connu et stable à une nouvelle action au potentiel inconnu, même si la nouvelle action pourrait avoir un rendement plus élevé.","not_enough_meaning"
3,"Biais d'ancrage","La tendance à se fier trop fortement à la première information offerte (l''ancre') lors de la prise de décisions.","Un vendeur de voitures d'occasion propose un prix élevé pour commencer les négociations ; le prix final semble plus raisonnable en comparaison, même s'il est toujours supérieur à la valeur réelle de la voiture.","too_much_information"
4,"Sophisme anecdotique","Utiliser une expérience personnelle ou un exemple isolé au lieu d'un argument solide ou de preuves convaincantes.","'Mon grand-père fumait un paquet par jour et a vécu jusqu'à 90 ans, donc fumer n'est pas si mauvais pour la santé.'","not_enough_meaning"
5,"Anthropomorphisme","La tendance à attribuer des traits humains, des émotions ou des intentions à des entités non humaines.","Croire que votre voiture est 'en colère' contre vous quand elle ne démarre pas, ou penser que votre chien se sent 'coupable' après une bêtise.","not_enough_meaning"
6,"Biais attentionnel","Notre perception est affectée de manière disproportionnée par ce qui occupe actuellement notre attention, nous amenant à négliger d'autres informations pertinentes.","Une personne qui essaie d'arrêter de fumer remarquera partout d'autres personnes en train de fumer, ce qui rend beaucoup plus difficile d'ignorer l'envie.","too_much_information"
7,"Biais d'autorité","La tendance à attribuer une plus grande exactitude à l'opinion d'une figure d'autorité et à être plus influencé par cette opinion.","Croire à l'approbation d'un produit médical par une célébrité, même si elle n'a aucune expertise médicale.","not_enough_meaning"
8,"Biais d'automatisation","La tendance à dépendre excessivement des systèmes automatisés, ce qui peut conduire à des informations automatisées erronées qui l'emportent sur des décisions correctes.","Suivre un système de navigation GPS vers un endroit dangereux ou incorrect, en lui faisant plus confiance qu'à son propre bon sens.","not_enough_meaning"
9,"Cascade de disponibilité","Un processus auto-renforçant dans lequel une croyance collective gagne de plus en plus de plausibilité grâce à sa répétition croissante dans le discours public.","Une petite nouvelle sur une maladie rare peut se transformer en panique généralisée à mesure que de plus en plus de gens en parlent, faisant paraître la menace plus importante qu'elle ne l'est.","too_much_information"
10,"Heuristique de disponibilité","Nous surestimons l'importance des informations faciles à mémoriser. Nous sommes influencés par des événements vifs, récents ou chargés d'émotion.","Après avoir vu plusieurs reportages sur des attaques de requins, vous commencez à croire qu'elles sont beaucoup plus courantes qu'elles ne le sont en réalité, même si les accidents de voiture sont statistiquement beaucoup plus dangereux.","too_much_information"
