id,name,definition,example,category
1,"Agenticity","The tendency to believe that the world is controlled by powerful, invisible agents.","Believing that a string of bad luck is the work of a curse or a malevolent entity, rather than random chance.","not_enough_meaning"
2,"Ambiguity Effect","The tendency to avoid options for which missing information makes the probability seem 'unknown.'","When choosing an investment, preferring a stock with a known, stable history over a new stock with unknown potential, even if the new stock could have a higher return.","not_enough_meaning"
3,"Anchoring Bias","The tendency to rely too heavily on the first piece of information offered (the 'anchor') when making decisions.","A used car salesman offers a high price to start negotiations; the final price seems more reasonable by comparison, even if it's still higher than the car's actual value.","too_much_information"
4,"Anecdotal Fallacy","Using a personal experience or an isolated example instead of a sound argument or compelling evidence.","'My grandfather smoked a pack a day and lived to be 90, so smoking isn't that bad for you.'","not_enough_meaning"
5,"Anthropomorphism","The tendency to attribute human traits, emotions, or intentions to non-human entities.","Believing your car is 'angry' at you when it won't start, or thinking your pet dog feels 'guilty' after misbehaving.","not_enough_meaning"
6,"Attentional Bias","Our perception is disproportionately affected by whatever is currently occupying our attention, leading us to neglect other relevant information.","A person trying to quit smoking will notice other people smoking everywhere, making it much harder to ignore the craving.","too_much_information"
7,"Authority Bias","The tendency to attribute greater accuracy to the opinion of an authority figure and be more influenced by that opinion.","Believing a celebrity's endorsement of a medical product, even if they have no medical expertise.","not_enough_meaning"
8,"Automation Bias","The tendency to depend excessively on automated systems which can lead to erroneous automated information overriding correct decisions.","Following a GPS navigation system into a dangerous or incorrect location, trusting it over one's own common sense.","not_enough_meaning"
9,"Availability Cascade","A self-reinforcing process in which a collective belief gains more and more plausibility through its increasing repetition in public discourse.","A minor news story about a rare disease can snowball into widespread panic as more and more people talk about it, making the threat seem more significant than it is.","too_much_information"
10,"Availability Heuristic","We overestimate the importance of information that is easy to recall. We are biased by vivid, recent, or emotionally charged events.","After seeing several news reports about shark attacks, you start to believe they are much more common than they actually are, even though car accidents are statistically far more dangerous.","too_much_information"
11,"Backfire Effect","The reaction to disconfirming evidence by strengthening one's previous beliefs.","When presented with scientific evidence that contradicts their political beliefs, a person might become even more convinced that their original belief is correct.","need_to_act_fast"
12,"Bandwagon Effect","The tendency to do or believe things because many other people do or believe the same.","Investing in a 'meme stock' simply because it is popular and many others are doing so, without researching its fundamental value.","not_enough_meaning"
13,"Base Rate Fallacy","We tend to ignore general statistical information (base rates) in favor of specific, descriptive information (anecdotes).","You read a vivid story about a person who won the lottery, so you buy a ticket, ignoring the astronomical odds against winning (the base rate).","too_much_information"
14,"Belief Bias","The tendency to judge the strength of arguments based on the plausibility of their conclusion, rather than how strongly they support that conclusion.","Accepting a poorly reasoned argument that 'All flowers need light, and roses need light, so roses are flowers' because the conclusion is obviously true, even though the logic is flawed.","not_enough_meaning"
15,"Ben Franklin Effect","A person who has performed a favor for someone is more likely to do another favor for that person than they would be if they had received a favor from that person.","If you want someone to like you, ask them to do a small favor for you. Their brain will rationalize that they must like you, otherwise they wouldn't have helped.","need_to_act_fast"
16,"Berkson's Paradox","The tendency to misinterpret statistical experiments involving conditional probabilities.","A false observation that two desirable traits are negatively correlated. For example, in a hospital population, you might observe that patients with disease A are less likely to have disease B, leading to a false conclusion about the diseases' relationship in the general population.","not_enough_meaning"
17,"Bias Blind Spot","The tendency to see oneself as less biased than other people, or to be able to identify more cognitive biases in others than in oneself.","Believing that you are objective and rational in your political views, while seeing supporters of the opposing party as being completely biased and illogical.","not_enough_meaning"
18,"Bizarreness Effect","Bizarre, unusual, or surprising information is better remembered than common and expected information.","In a list of words, you are more likely to remember 'platypus' and 'zeppelin' than 'chair' and 'table'.","too_much_information"
19,"Choice-Supportive Bias","The tendency to remember one's choices as better than they actually were.","When recalling a past decision, like choosing a university, you are more likely to remember the positive aspects of your choice and the negative aspects of the alternatives.","too_much_information"
20,"Clustering Illusion","The tendency to see patterns in random events. It is central to the gambler's fallacy.","Seeing a 'hot streak' in a basketball player who has made several shots in a row, even though each shot is an independent event.","not_enough_meaning"
21,"Compassion Fade","The tendency to be less moved by a large number of people suffering than by a single identifiable person.","Donating a large sum to help a single child whose story you saw on the news, but being less willing to donate to a fund that would help thousands of anonymous children.","too_much_information"
22,"Confirmation Bias","The tendency to search for, interpret, favor, and recall information in a way that confirms or supports one's prior beliefs or values.","A person who believes a certain political party is corrupt will primarily consume news from sources that report on that party's scandals, while ignoring positive news.","too_much_information"
